Fecha,Hora,Producto,ISIN,Bolsa de referencia,Centro de ejecución,Número,Precio,,Valor local,,Valor EUR,Tipo de cambio,Comisión AutoFX,Costes de transacción y/o externos EUR,Total EUR,ID Orden
15-05-2025,00:00,VISCOFAN SA-RTS - NON TRADEABLE,ES0684262936,DEG,,9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
15-05-2025,00:00,VISCOFAN SA-RTS,ES0684262936,MAD,,-9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
15-05-2025,00:00,VISCOFAN SA-RTS,ES0684262936,MAD,,9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
30-04-2025,16:18,"REPSOL, S.A.",ES0173516115,MAD,MESI,46,"10,6850",EUR,"-491,51",EUR,"-491,51",,"0,00","-2,00","-493,51",e9e4520e-2daf-472b-a572-6ed59ba39942
16-04-2025,15:30,"ALEXANDRIA REAL ESTATE EQUITIES, INC",US0152711091,NSY,XNYS,4,"78,9900",USD,"-315,96",USD,"-277,94","1,1368","-0,69","-2,00","-280,63",b65898d3-e566-40ca-a481-f7f6f3cafcdf
02-04-2025,17:24,"ALEXANDRIA REAL ESTATE EQUITIES, INC",US0152711091,NSY,CDED,11,"91,7200",USD,"-1008,92",USD,"-929,37","1,0856","-2,32","-2,00","-933,70",ecfc6f16-fcd9-4d95-bdfc-e91cd793c37c
19-03-2025,16:58,"T. ROWE PRICE GROUP, INC.",US74144T1088,NDQ,CDED,12,"94,5000",USD,"-1134,00",USD,"-1042,57","1,0877","-2,61","-2,00","-1047,18",1f827405-0cb5-4bf8-97ae-91a2afb53ce8
19-02-2025,19:39,W.P. CAREY INC,US92936U1097,NSY,CDED,16,"60,3200",USD,"-965,12",USD,"-926,31","1,0419","-2,32","-2,00","-930,63",8a2db2a6-3b7d-4130-8cb9-018d80a72605
18-02-2025,15:44,"SKYWORKS SOLUTIONS, INC.",US83088M1027,NDQ,XNAS,11,"66,0000",USD,"-726,00",USD,"-694,81","1,0449","-1,74","-2,00","-698,54",23b9340a-098b-4dbc-bf3d-5cbf50501a76
18-02-2025,09:00,LINEA DIRECTA,ES0105546008,MAD,XMAD,-510,"1,1700",EUR,"596,70",EUR,"596,70",,"0,00","-2,00","594,70",86d94d09-97ba-451c-b16b-68d8c8ab1ffc
06-02-2025,07:21,ACS ACTIVIDADES DE CONST-RTS - NON TRADEABLE,ES06670509Q3,DEG,,-59,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
21-01-2025,00:00,ACS ACTIVIDADES DE CONST-RTS - NON TRADEABLE,ES06670509Q3,DEG,,59,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
21-01-2025,00:00,ACS ACTIVIDADES DE CONST-RTS,ES06670509Q3,MAD,,-59,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
21-01-2025,00:00,ACS ACTIVIDADES DE CONST-RTS,ES06670509Q3,MAD,,59,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
06-01-2025,20:38,MONDELEZ INTERNATIONAL INC CLASS A,US6092071058,NDQ,CDED,16,"58,4500",USD,"-935,20",USD,"-900,02","1,0391","-2,25","-2,00","-904,27",986cb110-3ac3-45be-b3c0-20b500d8b76c
24-12-2024,15:30,JOHNSON & JOHNSON,US4781601046,NSY,XNYS,5,"145,0000",USD,"-725,00",USD,"-696,65","1,0407","-1,74","-2,00","-700,39",7c665965-9948-454b-a652-c15571a4ac2e
19-12-2024,08:40,VISCOFAN SA - RTS - NON TRADEABLE,ES0684262928,DEG,,-9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
10-12-2024,00:00,VIDRALA SA - RTS - NON TRADEABLE,ES0183746108,DEG,,0,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
10-12-2024,00:00,VIDRALA SA - RTS,ES06837469C0,MAD,,-14,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
22-11-2024,00:00,VISCOFAN SA - RTS - NON TRADEABLE,ES0684262928,DEG,,9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
22-11-2024,00:00,VISCOFAN SA - RTS,ES0684262928,MAD,,-9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
22-11-2024,00:00,VISCOFAN SA - RTS,ES0684262928,MAD,,9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
12-11-2024,00:00,VIDRALA SA - RTS,ES06837469C0,MAD,,14,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
11-11-2024,21:45,LYONDELLBASELL INDUSTRIES N.V CLASS A,NL0009434992,NSY,CDED,8,"84,7650",USD,"-678,12",USD,"-636,62","1,0652","-1,59","-2,00","-640,21",eef1db0c-ece1-4f60-a123-cd13f9f97a18
11-11-2024,21:44,"SKYWORKS SOLUTIONS, INC.",US83088M1027,NDQ,CDED,9,"87,5600",USD,"-788,04",USD,"-739,81","1,0652","-1,85","-2,00","-743,66",2ee22e74-d07c-4720-8533-7d394d577b77
11-11-2024,21:30,INTEL CORP,US4581401001,NDQ,JNST,-35,"25,1050",USD,"878,68",USD,"824,74","1,0654","-2,06","-2,00","820,68",cac2628e-d635-4237-bff5-b5f4168ec923
29-10-2024,14:30,LYONDELLBASELL INDUSTRIES N.V CLASS A,NL0009434992,NSY,XNYS,3,"87,3500",USD,"-262,05",USD,"-243,11","1,0779","-0,61","-2,00","-245,72",8a174f05-c790-499f-8234-dd564f080fa0
16-10-2024,15:30,MOLSON COORS BEVERAGE CO CLASS B,US60871R2094,NSY,XNYS,10,"54,5000",USD,"-545,00",USD,"-500,37","1,0892","-1,25","-2,00","-503,62",93deb978-d4f3-4129-8d0f-3ecc141a8956
01-10-2024,15:30,"T. ROWE PRICE GROUP, INC.",US74144T1088,NDQ,XNAS,5,"108,2700",USD,"-541,35",USD,"-488,72","1,1077","-1,22","-2,00","-491,94",12166f08-e19a-467f-a54f-9071b6b92d61
20-08-2024,15:30,LYONDELLBASELL INDUSTRIES N.V CLASS A,NL0009434992,NSY,XNYS,7,"96,6200",USD,"-676,34",USD,"-609,37","1,1099","-1,52","-2,00","-612,90",d2345120-0b77-41f6-84d4-2323cebfd39d
07-08-2024,09:00,"REPSOL, S.A.",ES0173516115,MAD,XMAD,65,"12,5000",EUR,"-812,50",EUR,"-812,50",,"0,00","-2,00","-814,50",61b9ae9d-657f-4d66-b981-58f25cf10a27
25-07-2024,08:07,ACS CONST. - NON TRADEABLE,ES0167050261,DEG,,-2,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
25-07-2024,08:07,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA,ES0167050915,MAD,,2,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
23-07-2024,00:00,ACS CONST. - NON TRADEABLE,ES0167050261,DEG,,2,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
23-07-2024,00:00,ACS ACTIVIDADES DE CO-RIGHTS,ES06670509P5,MAD,,-50,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
